NOME,GENERO,FASE,IDADE,ENSINO,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,ANO
ALUNO-1,F,2,11,Pública,7.883752,Ametista,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10.0,2020
ALUNO-3,F,3,12,Pública,7.856389666666666,Ametista,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10.0,2020
ALUNO-4,M,1,10,Pública,5.076252,Quartzo,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5.0,2020
ALUNO-5,M,2,10,Pública,8.077085,Ametista,7.50002,8.0,7.5,7.5,8.4375,8.166665,10.0,2020
ALUNO-8,F,4,14,Privada,8.381390666666666,Ametista,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10.0,2020
ALUNO-10,F,3,13,Pública,5.1618745,Quartzo,5.83333,5.2,3.75,0.0,7.96875,6.8333325,10.0,2020
ALUNO-11,M,0,8,Pública,9.712504,Topázio,9.000020000000001,10.0,8.125,10.0,10.0,10.00001,10.0,2020
ALUNO-12,M,3,14,Privada,5.838887333333334,Quartzo,6.25,6.0,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5.0,2020
ALUNO-14,F,2,11,Pública,6.434585,Ágata,8.000020000000001,7.6,6.875,0.0,8.4375,7.916665,10.0,2020
ALUNO-15,F,2,12,Pública,5.162502,Quartzo,8.500020000000001,4.0,7.5,0.0,8.125,7.25,5.0,2020
ALUNO-17,M,1,13,Pública,7.766252,Ametista,9.50002,6.8,7.5,10.0,6.5625,7.75,5.0,2020
ALUNO-18,M,3,14,Pública,7.2055576666666665,Ágata,9.58335,7.0,7.5,6.5,7.083333333333334,7.944446666666665,5.0,2020
ALUNO-28,F,3,13,Privada,9.354725666666669,Topázio,9.58335,9.6,6.875,9.0,10.0,9.944453333333334,10.0,2020
ALUNO-30,F,0,7,Pública,7.125001,Ágata,7.916679999999999,10.0,7.5,4.75,2.5,6.916665,10.0,2020
ALUNO-33,M,3,13,Pública,7.013888333333334,Ágata,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10.0,2020
ALUNO-34,F,2,12,Pública,7.698890666666667,Ametista,8.500020000000001,9.3,6.875,7.0,8.125,7.944443333333334,5.0,2020
ALUNO-35,F,7,18,Pública,6.64396,Ágata,8.75001,6.1,6.25,5.0,7.65625,8.29167,5.0,2020
ALUNO-36,F,3,14,Pública,8.307780333333334,Ametista,9.58335,9.9,7.5,8.0,8.749999999999998,8.222226666666668,5.0,2020
ALUNO-37,M,2,10,Pública,6.6788913333333335,Ágata,10.00002,7.7,4.375,2.5,6.458333333333333,7.77778,10.0,2020
