NOME,ANO,FASE,IAA,IAN,IDA,IEG,IPP,IPS,IPV,INDE,PEDRA
ALUNO-1,2020,2H,8.500020000000001,10,7,8.7,5.9375,7.5,7.75,7.883752,Ametista
ALUNO-1,2021,2.0,7.5,5.0,8.8,6.3,7.7,6.9,8.1,7.319,Ametista
ALUNO-1,2022,,,,,,,,,,
ALUNO-10,2020,3B,5.83333,10,0,5.2,7.96875,3.75,6.8333325,5.1618745,Quartzo
ALUNO-10,2021,,,,,,,,,,
ALUNO-10,2022,,,,,,,,,,
ALUNO-100,2020,1M,9.000020000000001,5,7.5,6.5,6.875,4.375,7.916665,6.908335000000001,Ágata
ALUNO-100,2021,1.0,8.5,5.0,0.0,0.0,6.3,3.8,3.8,3.117,Quartzo
ALUNO-100,2022,2.0,9.000020000000001,5.0,1.666666666666666,8.475473801560758,6.25,5.0,7.444443333333333,6.042318760312152,Ágata
ALUNO-1000,2020,,,,,,,,,,
ALUNO-1000,2021,,,,,,,,,,
ALUNO-1000,2022,2.0,9.50002,10.0,2.0,8.093434343434343,6.458333333333334,7.5,6.611106666666666,6.686743535353536,Ágata
ALUNO-1001,2020,,,,,,,,,,
ALUNO-1001,2021,0.0,9.5,10.0,6.9,10.0,8.4,7.5,10.0,8.931,Topázio
ALUNO-1001,2022,0.0,9.000020000000001,5.0,8.083333333333334,8.452380952380953,5.625,5.625,7.75,7.382144857142857,Ametista
ALUNO-1002,2020,3J,9.16668,5,8.333333333333334,9.4,8.125,7.5,7.944446666666668,8.114724,Ametista
ALUNO-1002,2021,3.0,8.8,5.0,7.5,8.3,7.7,7.5,8.1,7.693,Ametista
ALUNO-1002,2022,4.0,8.75001,5.0,8.277777777777777,7.515756302521009,7.5,6.875,7.958335,7.562874816059757,Ametista
ALUNO-1003,2020,3C,9.58335,5,8,6.8,8.749999999999998,7.5,7.777776666666667,7.598890333333334,Ametista
ALUNO-1003,2021,,,,,,,,,,
ALUNO-1003,2022,,,,,,,,,,
ALUNO-1004,2020,0H,9.000020000000001,10,9,10,2.5,6.25,5.5,7.675002000000001,Ametista
ALUNO-1004,2021,0.0,10.0,5.0,6.4,10.0,7.8,6.9,6.3,7.506,Ametista
ALUNO-1004,2022,0.0,10.00002,5.0,8.666666666666668,9.547511312217194,6.25,7.5,8.33333,8.184503595776773,Topázio
ALUNO-1005,2020,,,,,,,,,,
ALUNO-1005,2021,,,,,,,,,,
ALUNO-1005,2022,1.0,8.500020000000001,5.0,6.5,9.833333333333334,5.625,4.375,7.16666,7.050000666666667,Ametista
ALUNO-1006,2020,1H,9.000020000000001,5,7.5,9.4,7.916666666666668,7.5,7.444443333333333,7.8105573333333345,Ametista
ALUNO-1006,2021,,,,,,,,,,
ALUNO-1006,2022,,,,,,,,,,
ALUNO-1007,2020,2P,9.500020000000001,10,4,8.3,8.333333333333332,7.5,7.666670000000001,7.5266693333333325,Ametista
ALUNO-1007,2021,2.0,0.0,5.0,0.8,1.7,7.2,7.5,6.5,3.752,Quartzo
ALUNO-1007,2022,,,,,,,,,,
ALUNO-1008,2020,,,,,,,,,,
ALUNO-1008,2021,,,,,,,,,,
ALUNO-1008,2022,0.0,10.00002,10.0,6.299999999999999,6.641025641025641,5.625,6.25,7.416665,7.259040128205128,Ametista
ALUNO-1009,2020,,,,,,,,,,
ALUNO-1009,2021,0.0,7.0,10.0,6.3,10.0,2.5,7.5,7.2,7.400,Ametista
ALUNO-1009,2022,0.0,9.000020000000001,5.0,8.083333333333332,9.814814814814817,5.9375,2.5,8.083335,7.440048629629629,Ametista
ALUNO-101,2020,,,,,,,,,,
ALUNO-101,2021,,,,,,,,,,
ALUNO-101,2022,3.0,7.08333,10.0,6.622222222222223,7.854166666666666,7.65625,6.25,7.416665,7.477568777777778,Ametista
ALUNO-1010,2020,1B,9.000020000000001,10,10,9.9,7.1875,5,7.416665,8.582085,Topázio
ALUNO-1010,2021,1.0,8.0,5.0,5.2,10.0,7.5,7.5,8.1,7.449,Ametista
ALUNO-1010,2022,2.0,8.500020000000001,10.0,4.5,8.292972459639126,6.041666666666667,7.5,7.5,7.262763158594493,Ametista
ALUNO-1011,2020,,,,,,,,,,
ALUNO-1011,2021,,,,,,,,,,
ALUNO-1011,2022,0.0,10.00002,5.0,7.833333333333333,9.473684210526317,5.625,7.5,7.58333,7.790571508771929,Ametista
ALUNO-1012,2020,1M,8.000020000000001,10,10,9.1,8.125,7.5,7.916665,8.765835000000001,Topázio
ALUNO-1012,2021,,,,,,,,,,
ALUNO-1012,2022,,,,,,,,,,
ALUNO-1013,2020,,,,,,,,,,
ALUNO-1013,2021,2.0,9.0,5.0,6.1,7.9,8.1,7.5,7.7,7.292,Ametista
ALUNO-1013,2022,,,,,,,,,,
ALUNO-1014,2020,1N,8.000020000000001,5,5,8.6,7.5,7.5,7.222219999999999,6.964446,Ágata
ALUNO-1014,2021,1.0,9.0,5.0,6.3,8.3,8.1,7.5,8.7,7.636,Ametista
ALUNO-1014,2022,1.0,7.416679999999999,5.0,8.833333333333332,7.425925925925926,6.041666666666667,7.5,7.277776666666666,7.303241851851853,Ametista
ALUNO-1015,2020,3R,9.16668,10,6.666666666666667,7.2,8.125,7.5,9.000003333333332,8.052502,Ametista
ALUNO-1015,2021,3.0,9.6,10.0,6.9,8.9,7.9,7.5,9.1,8.475,Topázio
ALUNO-1015,2022,4.0,9.16668,10.0,7.266666666666667,8.928571428571427,7.96875,9.375,8.91667,8.67342461904762,Topázio
ALUNO-1016,2020,2E,8.500020000000001,5,6,9.6,7.916666666666668,7.5,7.11111,7.433890666666667,Ametista
ALUNO-1016,2021,2.0,9.0,5.0,1.1,0.8,7.5,7.5,8.3,4.946,Quartzo
ALUNO-1016,2022,,,,,,,,,,
ALUNO-1017,2020,2J,9.000020000000001,10,8.5,8.8,7.083333333333333,7.5,8.277776666666666,8.473890666666668,Ametista
ALUNO-1017,2021,3.0,8.8,10.0,5.8,7.2,7.9,7.5,9.2,7.844,Ametista
ALUNO-1017,2022,4.0,7.91667,10.0,6.888888888888888,9.05864681295716,7.96875,5.625,8.083335,7.95721614036921,Ametista
ALUNO-1018,2020,5L,8.33334,5,0,4.9,8.541666666666666,7.5,5.388883333333333,4.995277333333333,Quartzo
ALUNO-1018,2021,,,,,,,,,,
ALUNO-1018,2022,,,,,,,,,,
ALUNO-1019,2020,5A,6.24999,5,4.333333333333333,6.5,8.333333333333334,7.5,6.88888,6.252775000000001,Ágata
ALUNO-1019,2021,,,,,,,,,,
ALUNO-1019,2022,,,,,,,,,,
